canal,nome video,data,contagem
Talk Flow, SOBRE FELIPE NETO,2020-12-21 06:38:21.057,2
Talk Flow, SOBRE XBOX MIL GRAU,2020-12-21 06:28:48.056,2
Cortes do Flow [OFICIAL], O FLOW COMETEU UM ERRO AO CHAMAR O XBOX MIL GRAU? | Cortes do Flow,2020-12-21 06:18:00.762,2
Cortes do Flow [OFICIAL], O TWEET QUE DESTRUIU A XBOX MIL GRAU | Cortes do Flow,2020-12-21 06:10:27.784,2
Cortes do Flow [OFICIAL], CRÍTICAS ÀS PIADAS DA XMG | Cortes do Flow,2020-12-21 05:58:58.768,2
Cortes do Flow [OFICIAL], XBOX MIL GRAU LEVANDO BRONCA | Cortes do Flow,2020-12-21 05:49:56.551,2
Flow Pocket 2, CLIMA ESQUENTA ENTRE IGOR 3K E XCAPIM | Flow Pocket,2020-12-21 05:44:41.371,2
Cortes do Flow [OFICIAL], IGOR E MONARK CRITICAM A TOXICIDADE DO CONVIDADO | Cortes do Flow,2020-12-21 05:42:35.236,2
Cortes do Flow [OFICIAL], CONVIDADO OFENDE MONARK E IGOR | Cortes do Flow,2020-12-21 05:40:45.382,2
Cortes Podpah [OFICIAL], IRMÃOS NETO,2020-12-21 05:36:43.151,2
Talk Flow, MÍTICO EXPONDO LUCCAS NETO,2020-12-21 05:33:53.480,2
Cortes do Flow [OFICIAL], A VERDADE SOBRE O CARÁTER DE LUCCAS NETO | Cortes do Flow,2020-12-21 05:28:13.008,2
Cortes do Flow [OFICIAL], VIDEOS DE INDIANOS CONSTRUINDO PISCINAS SÃO FAKE? | Cortes do Flow,2020-12-21 05:23:37.904,2
MC NEGÃO DA BL, Ou você pula no mistério ou você incorpora numa bixa kkkkk,2020-12-21 05:22:10.172,2
NaLata Driver, UBER AO VIVO NA MADRUGA #15 - DOMINGOU,2020-12-21 05:21:11.653,2
Cortes do Flow [OFICIAL], TRETAS DO FLOW PODCAST | Cortes do Flow,2020-12-21 05:12:15.610,2
adsense, https://www.youtube.com/watch?v=LlbqBDCGm7k,2020-12-21 05:08:37.030,2
Master Tech Jr, Como instalar Globo Play e Telecine Play em qualquer TV Box Android,2020-12-21 02:07:12.567,2
Master Tech Jr, Como Instalar o App Globo Play em qualquer TV BOX Android,2020-12-21 02:07:07.435,2
Tecnologias Diversas, Problema com aplicativo Telecine no Tvbox (Solucionado) 2020,2020-12-21 02:01:27.126,2
Hoopie88, Long Cool Woman in a Black Dress - The Hollies,2020-12-20 21:47:58.195,2
Criolo, Criolo & Tropkillaz - Sistema Obtuso,2020-12-19 14:56:34.060,2
Tenho Direito?, 19/12 AUXÍLIO EMERGENCIAL E BOLSA FAMÍLIA: 13º SALÁRIO ABONO NATALINO | MP 1000 | BOLSONARO X MAIA,2020-12-19 14:54:27.580,2
Instituto Montanari, 19/12 - 13º BOLSA FAMÍLIA AUXÍLIO EMERGENCIAL GOVERNO SE PRONUNCIA! VEJA O QUE ELES DISSERAM!,2020-12-19 14:39:34.028,2
Flow Pocket 2, ATÉ ONDE O CIÚME É SAUDÁVEL EMME WHITE? | Flow Pocket,2020-12-18 18:03:04.714,2
Flow Pocket 2, EMME WHITE FALA VERDADES SOBRE O SITE BRASILEIRINHAS | Flow Pocket,2020-12-18 18:01:53.680,2
Flow Pocket 2, EMME WHITE E O INSTAGRAM | Flow Pocket,2020-12-18 17:59:08.594,2
adsense, a video that has been removed,2020-12-18 17:57:43.319,2
Balanço Geral MG, Homem debocha de currículos recebidos para vaga de emprego,2020-12-18 17:56:37.415,2
SBT Jornalismo, Turista australiano se aventura com traficantes no Complexo do Alemão | Primeiro Impacto (21/08/19),2020-12-18 17:52:05.105,2
SBT Jornalismo, Policial infiltrado mostra rotina de um dos traficantes mais perigosos do RJ | SBT Brasil (14/11/20),2020-12-18 17:44:07.069,2
TOP PLEY, Traficante da rocinha é pego dormindo na hora do plantão,2020-12-18 17:43:15.278,2
Cortes Podcast, COMO É TRABALHAR NA GLOBO | Cortes Podcast,2020-12-18 17:39:45.181,2
adsense, https://www.youtube.com/watch?v=Np9MnYISVqQ,2020-12-18 17:39:44.100,2
Talk Flow, MURILO COUTO SOBRE FELIPE NETO,2020-12-18 17:33:39.612,2
adsense, https://www.youtube.com/watch?v=SDTNyeIYK1I,2020-12-18 17:32:24.533,2
Aquele Flau [OFICIAL], DANILO GENTILI E SUAS ADVOGADAS,2020-12-18 06:08:12.547,2
Cortes do Flow [OFICIAL]," MONARK CONFRONTA MULHER DO IGOR, E O CLIMA? ESQUENTOU? | Cortes do Flow",2020-12-18 06:04:06.232,2
adsense, https://www.youtube.com/watch?v=cmrGNhEBJQ4,2020-12-18 06:01:34.219,2
Flow Pocket 2, DREAD HOT E SEU GEMIDO DE ALIEN | Flow Pocket,2020-12-18 05:58:57.057,2
Cortes do Flow [OFICIAL], DREAD HOT FALA OS PEDIDOS DE FÃS ESTRANHOS | Cortes do Flow,2020-12-18 05:56:44.956,2
Flow Pocket 2, IGOR 3K FICA CHOCADO COM DREAD HOT | Flow Pocket,2020-12-18 05:52:18.277,2
Flow Pocket 2, O HOMEM REALMENTE É IMPORTANTE NA HORA DO S3XO GRUPAL? EMME WHITE | Flow Pocket,2020-12-18 05:50:07.267,2
Flow Pocket 2, EMME WHITE NÃO GOSTA DO ALEXANDRE FROTA? | Flow Pocket,2020-12-18 05:47:58.925,2
Flow Pocket 2, EMME WHITE MANDA RECADO PARA OS FANS | Flow Pocket,2020-12-18 05:45:23.841,2
Flow Pocket 2, POR QUE EMME WHITE TEM BIRRA DAS FEMINISTAS RADICAIS? | Flow Pocket,2020-12-18 05:43:20.744,2
Flow Pocket 2," O QUE DREAD HOT ACHA DO SITE ""SUICID3GIRLS""? | Flow Pocket",2020-12-18 05:40:31.519,2
adsense, https://www.youtube.com/watch?v=H63JBZALYm8,2020-12-18 05:32:36.729,2
Metaforando, O Caso PC Siqueira (Análise de Linguagem Corporal - Metaforando),2020-12-18 05:26:36.881,2
Canal2 - Maicon Küster, PC SIQUEIRA VOLTOU COMPLETAMENTE LOUCO,2020-12-18 05:22:57.669,2
TODO MUNDO ODEIA PC SIQUEIRA," Trocando Registro, Mariposa e Cotonete",2020-12-18 05:21:40.409,2
Cortes do Flow [OFICIAL], CAUÊ MOURA SOBRE PC SIQUEIRA | Cortes do Flow,2020-12-18 05:20:01.534,2
Cortes do Flow [OFICIAL], PC SIQUEIRA | Cortes do Flow,2020-12-18 05:11:15.843,2
Cortes do Master [OFICIAL], CASO DO PC SIQUEIRA | Cortes do Master,2020-12-18 05:07:02.239,2
Cortes Podcast, RAFINHA E CAUÊ DISCUTEM SOBRE PC SIQUEIRA | Cortes Podcast,2020-12-18 04:59:35.874,2
Willian Stucker Eu quero saber mais, PC Siqueira - Ouça o áudio (EXCLUSIVO),2020-12-18 04:56:01.418,2
Rafi Bastos, SOBRE O CASO DO PC SIQUEIRA,2020-12-18 04:45:22.470,2
Jane Loures Canal de culinária," Pipoca doce,fácil e rápida de fazer..Assista ao vídeo para conferir..",2020-12-17 00:27:33.124,2
Perseguidora de Sonhos, PUDIM NO POTE - OS 2 SABORES MAIS VENDIDOS - FAÇA E VENDA,2020-12-16 22:06:40.347,2
Perseguidora de Sonhos," FAÇA ESSE PUDIM DE PRESTÍGIO NO POTE, É TOP, DELICIOSOOO",2020-12-16 22:06:34.389,2
Rick Sanchez, Changing 1 to 0 - Rick and Morty [season 3],2020-12-16 20:22:09.359,2
Talk Flow, RAFINHA BASTOS E DANILO GENTILI,2020-12-15 22:56:35.470,2
Mauricio Meirelles, EU GOSTO MUITO DO WHINDERSON NUNES - ACHISMOS COM RAFINHA BASTOS #2,2020-12-15 22:37:05.132,2
Talk Flow, TRETA COM RAFINHA BASTOS,2020-12-15 22:25:08.169,2
SLS DICAS E VLOGS," VENDA POR 1,00 E LUCRE 100% SORVETE DE CHOCOLATE NO POTINHO MUITO CREMOSO",2020-12-14 15:55:51.156,2
SLS DICAS E VLOGS, VENDA POR 1.00 REAL E LUCRE 100% 30 POTES DE SORVETE COM 1 PACOTINHO DE TANG,2020-12-14 15:54:35.058,2
Perseguidora de Sonhos," FAÇA ESSE PUDIM DE PRESTÍGIO NO POTE, É TOP, DELICIOSOOO",2020-12-14 14:29:18.380,2
Perseguidora de Sonhos, PUDIM NO POTE - OS 2 SABORES MAIS VENDIDOS - FAÇA E VENDA,2020-12-14 14:29:09.516,2
Perseguidora de Sonhos," ESSA SOBREMESA É UM SUCESSO   COPO DA FELICIDADE, COPUDIM",2020-12-14 14:28:44.133,2
Perseguidora de Sonhos, TORTA DE FRANGO no Pote (com pão) Faça e Venda - Ganhe uma Renda Extra,2020-12-14 14:23:00.271,2
Universidade Financeira, Como Sacar Dinheiro no Cartão de Crédito + Como Funciona o SAQUE Com o Cartão de Crédito,2020-12-13 15:35:45.367,2
Italo Conrado, COMO SACAR TODO O LIMITE DO CARTÃO DE CREDITO - [MÉTODO 2021],2020-12-13 15:33:10.183,2
adsense, Parcele tudo em até 12x com PicPay!,2020-12-13 15:30:27.667,2
POR DENTRO E POR FORA MOTOS, HONDA BIS 125 OU YAMAHA NEO 125 COMPARATIVO 2018,2020-12-13 05:18:45.812,2
Easy Way Motos," Avaliação: Pop 110i 2019 - Consumo, Painel, Design e mais!",2020-12-13 04:55:17.420,2
ZÉ DO RELO, QUEM TEM POP 110 i TEM QUE SABER DISSO - DICAS DO ZÉ DA POP,2020-12-13 04:43:14.800,2
Domadores de Cilindradas, Pop 110 | AINDA VALE A PENA COMPRAR ?,2020-12-13 04:39:54.196,2
Trader Faixa Preta, ALAVANCAGEM DE R$ 70 PARA R$ 1.600 EM 35 MINUTOS.,2020-12-13 04:16:50.315,2
adsense, a video that has been removed,2020-12-13 04:11:34.858,2
Como Ganhar Dinheiro na Internet – Lu Masati," Seja PAGO para baixar arquivos GRÁTIS + R$40,00 por CADA ARQUIVO / Como ganhar dinheiro na internet",2020-12-12 21:02:02.145,2
adsense, a video that has been removed,2020-12-12 19:49:43.338,2
Planeta Mágico, CAIXA TEM:  É NECESSÁRIO REGULARIZAR O SEU ACESSO. PROCURE UMA AGÊNCIA DA CAIXA. [APP CAIXA TEM],2020-12-12 18:17:11.230,2
Gilson Moraes, COMO LIBERAR ACESSO DO CAIXA TEM DE UMA VEZ POR TODAS!,2020-12-12 18:16:56.959,2
WILLIAM FERREIRA lıl," COMO CORRIGIR O ERRO, É NECESSÁRIO REGULARIZAR O SEU ACESSO. PROCURE UMA AGÊNCIA DA CAIXA.",2020-12-12 18:08:22.225,2
Post Tutoriais , Resolvido -  É necessário regularizar seu acesso procure uma agência,2020-12-12 17:44:55.470,2
AQUI VOCÊ SABE !, Caixa tem e necessário regularizar seu acesso procure uma agência COMO RESOLVER,2020-12-12 17:31:51.168,2
FAVELADO INVESTIDOR, QUANTO INVESTIR PARA VIVER DE RENDA COM FIIS (EXEMPLOS REAIS) || FAVELADO INVESTIDOR,2020-12-12 14:28:05.052,2
FAVELADO INVESTIDOR, 3 INVESTIMENTOS SEGUROS PARA INICIANTES (COMECE COM POUCO DINHEIRO),2020-12-12 14:17:31.969,2
FAVELADO INVESTIDOR, COMO RECEBER 3 SALÁRIOS MÍNIMOS DE ALUGUEL DE FUNDOS IMOBILIÁRIOS (ISENTO DE IR),2020-12-12 14:17:20.574,2
Gerando Poder, Nenhum Brasileiro Aprendeu Isso Na Escola | Empreendedor Flávio Augusto da Silva,2020-12-12 14:04:32.285,2
Seu Crédito Digital, DÍVIDAS CADUCADAS CONTINUAM TE IMPEDINDO DE CONSEGUIR CARTÃO? 😱😱,2020-12-12 13:58:50.733,2
Cortes do Flow [OFICIAL], FAVELADO INVESTIDOR | Cortes do Flow,2020-12-12 13:34:41.089,2
Talk Flow," EU NÃO FIQUEI RICO, FIQUEI MUITO RICO",2020-12-12 13:25:44.424,2
Seu Crédito Digital, 8 OU 80? AFINAL QUANTOS CARTÕES DE CRÉDITO É RECOMENDÁVEL TER?,2020-12-12 13:19:44.371,2
BudPlay, TODAS AS MENSAGENS POR TRÁS DE PONTA DE LANÇA | Rincon Sapiência,2020-12-12 13:19:01.282,2
Flow Compilações, DISCUSSÕES F0D4S DO FLOW #01,2020-12-12 13:18:06.733,2
MC NEGÃO DA BL, Ae não deixa ninguém mexer na barricada não em 🤣🤣🤣🤣🤣,2020-12-12 13:16:53.734,2
Cortes do Flow [OFICIAL], HISTÓRIA DE CAMELÔ | Cortes do Flow,2020-12-12 03:28:03.915,2
MC NEGÃO DA BL, Os amigos tá falando cmg e se brotar é bala😂😂,2020-12-12 03:26:28.149,2
De Sola," ""NUNCA MAIS QUERO VER EDUARDO STERBLITCH NA MINHA VIDA"" - BOLA no Alê Responde #165",2020-12-12 03:24:07.932,2
Mauricio Meirelles, INVADI O COMÍCIO DO BOULOS E ME PASSEI POR ELE!,2020-12-12 03:17:17.566,2
Mundo Cultural, O SEU ERRO É SER BONZINHO | A Filosofia De Maquiavel,2020-12-12 03:14:02.181,2
NeuroVox, O Ego É Teu Maior Inimigo | PEDRO CALABREZ,2020-12-11 14:58:40.225,2
NeuroVox, Como funciona o cérebro? | Parte 1: Neurônios | PEDRO CALABREZ | NeuroVox 009,2020-12-11 14:58:32.133,2
Produccine, ✅ Como colocar CAPA NO VIDEO do Youtube pelo PC!,2020-12-10 15:44:57.078,2
TV Afiada," FHC: ""o pessoal do sopão sempre vai existir""",2020-12-10 14:55:50.768,2
adsense, a video that has been removed,2020-12-10 14:41:33.567,2
Montar um Negócio, 10 COISAS PARA COMPRAR COM 200 REAIS E REVENDER,2020-12-10 14:28:23.951,2
Lidia Duarte - Ganhar Dinheiro Mais, Como Fazer RENDA EXTRA na Internet de R$200 a R$600 mesmo SEM EXPERIÊNCIA investindo ZERO reais!,2020-12-10 14:07:06.744,2
Tomazine420, FUMO MAIS que MATUÊ e MONARK ??? ONU Legalizou !?,2020-12-10 04:47:34.422,2
Darkscythe, Knives restoration suggestions,2020-12-10 03:51:12.356,2
VLADIATOR, PSG vs ISTANBUL - Who IS the RACIST?  Pierre Webo vs Referee,2020-12-10 03:51:05.251,2
Full, ISSO É A COISA MAIS INACREDITÁVEL QUE EU JÁ VI!!! JOGO DO PSG CANCELADO POR RACISMO DO ÁRBITRO!!,2020-12-10 03:49:29.331,2
Aluminio Fortaleza, Sua panela não pega pressão? Dicas aqui!,2020-12-08 20:51:46.829,2
Flow Podcast, FROID - Flow Podcast #157,2020-12-08 12:07:15.374,2
Talk Flow, PROJOTA SOBRE FROID,2020-12-08 12:03:28.448,2
Mateus Freitas Contábil, Abono Salarial do PIS - Valor Pago Sendo Para quem Não Conseguiu Movimentar o Saldo,2020-12-08 12:02:15.527,2
Hot e Oreia, Hot e Oreia - Domingo l Presença,2020-12-08 11:50:40.455,2
Guilherme Boulos, #BoulosNoFlow | Na íntegra,2020-12-07 23:00:18.029,2
Guilherme Boulos, Guilherme Boulos no PodPah,2020-12-07 22:59:48.228,2
Flow Compilações, BOULOS NO FLOW | MELHORES MOMENTOS,2020-12-07 22:57:19.593,2
Flow Compilações, DISCUSSÕES F0D4S DO FLOW #03,2020-12-07 22:46:44.999,2
Flow Compilações, DISCUSSÕES F0D4S DO FLOW #02,2020-12-07 22:38:25.575,2
Flow Compilações, MARCELO D2 NO FLOW | MELHORES MOMENTOS,2020-12-07 22:30:50.046,2
Flow Compilações, DISCUSSÕES F0D4S DO FLOW #05,2020-12-07 22:20:39.764,2
Flow Compilações, O CLIMA ESQUENTOU - AS MAIORES TRETAS DO FLOW PODCAST,2020-12-07 22:13:45.928,2
Talk Flow, CRISTÃO É PRECONCEITUOSO?,2020-12-07 22:02:46.261,2
Cortes do Flow [OFICIAL], UMBANDA E CANDOMBLÉ | Cortes do Flow,2020-12-07 21:46:07.263,2
adsense, https://www.youtube.com/watch?v=tuH4cQWq2Pw,2020-12-07 21:41:23.164,2
Quadro Móvel, MELHOR APLICATIVO PARA GRAVAR ÁUDIO COM CELULAR.,2020-12-07 21:34:32.090,2
Higor, COMO BAIXAR VÍDEOS DO YOUTUBE (PELO CELULAR/ANDROID),2020-12-07 21:28:16.690,2
adsense, Natal 2020 - O Boticário,2020-12-07 21:26:30.838,2
Grande Virada, Ganhe DINHEIRO NO YOUTUBE Com Músicas Grátis,2020-12-07 21:14:32.188,2
Imperio Milionario, Como Ganhar Dinheiro no Youtube Copiando e Colando,2020-12-07 21:07:55.060,2
TheChacal547, Gatinho Fofo Aventuras - Desenhos Animados Divertidos,2020-12-07 20:58:39.124,2
Tempojunto, TOP 10 BRINCADEIRAS PARA CRIANÇAS DE 5 A 6 ANOS,2020-12-07 20:56:43.344,2
R.i.R, MINIONS para Crianças Rir até não Aguentar,2020-12-07 20:56:27.407,2
adsense, Comprovado! Creative Commons Monetiza sim! Postei um vídeo creative Commons em um canal Monetizado!,2020-12-07 20:53:31.799,2
Nerds de Negócios, 9 ERROS QUE YOUTUBERS INICIANTES COMETEM,2020-12-07 18:28:13.115,2
Megapixelers, Direitos Autorais do YouTube - TUDO sobre musica para videos,2020-12-07 18:18:52.762,2
Erivelton, COMO criar CANAL de MÚSICA 2021 Atualizado sem PROBLEMAS COM direitos Autorais,2020-12-07 18:18:10.278,2
Nerds de Negócios, O SEGREDO PARA MONETIZAR O CANAL MAIS RÁPIDO,2020-12-07 17:50:07.869,2
andrew nunes, Moriá - Leonardo Gonçalves LETRA,2020-12-07 12:19:36.219,2
MyNews, CPI DO JESUS GAY,2020-12-06 17:03:47.027,2
Netflix Brasil, Especial de Natal Porta dos Fundos: Reagindo a Lucifer | Netflix,2020-12-06 17:00:50.892,2
Porta dos Fundos, ESPECIAL DE NATAL - O VELHO TESTAMENTO,2020-12-06 17:00:15.123,2
Porta dos Fundos, (TRAILER OFICIAL) TEOCRACIA EM VERTIGEM - ESPECIAL DE NATAL,2020-12-06 16:57:38.757,2
Dionathan Machado - EMPREENDEDOR DIGITAL, 🔜 O Melhor SITE (APLICATIVO) Para GANHAR DINHEIRO No MUNDO│Como Ganhar Dinheiro Online no YOUTUBE $,2020-12-06 13:48:38.378,2
Seu Crédito Digital, A VERDADE SOBRE COMO TER UM SCORE DE CRÉDITO COM 1000 PONTOS ✅✅,2020-12-06 13:45:10.731,2
Seu Crédito Digital, Esse é o MELHOR EMPRÉSTIMO online | BOM PRA CRÉDITO,2020-12-06 13:40:10.612,2
Seu Crédito Digital," EMPRÉSTIMO RÁPIDO, FÁCIL E S/ BUROCRACIA",2020-12-06 13:28:01.328,2
Grupo Teixeira, Prazo Para Saque do Abono do PIS,2020-12-05 21:37:32.255,2
SemstressTv, Matuê fala sobre Djonga e feat com Raffa Moreira.,2020-12-03 18:22:08.168,2
Mateus Freitas Contábil, Consulta dos Pagamentos do Abono Salarial do PIS - Devido aos Ajustes no Sistema da Caixa Econômica,2020-12-03 18:17:26.843,2
Mateus Freitas Contábil, Pagamento do Abono Salarial do PIS - Quem Vai Receber no dia 08/12 Previsto Pelo Governo Federal?,2020-12-03 18:13:06.252,2
NandãoXJ6, IFOOD ENTREGADOR DUAS ENTREGAS  EM UMA SÓ,2020-12-02 21:10:56.427,2
Entregador de Lanches, IFOOD ENTREGADOR: MOTOCA COMEU O PEDIDO DO CLIENTE!! E AGORA?,2020-12-02 21:02:02.142,2
Mega Curioso, 4 sintomas que você pode sentir antes de ter um ATAQUE CARDÍACO!,2020-12-02 16:03:50.783,2
Mulheres, Conheça os SINAIS antes de um infarto - Mulheres (21/02/19),2020-12-02 16:03:37.308,2
INCRÍVEL, 10 Sinais Alarmantes De Que O Seu Coração Não Está Funcionando Direito,2020-12-02 03:21:01.510,2
Saúde da Mente, Sintomas da Crise de Ansiedade,2020-12-02 03:20:46.682,2
MyNews, SAIBA QUAIS OS SINAIS E COMO EVITAR O ATAQUE CARDÍACO,2020-12-02 03:17:30.274,2
Secretaria de Estado da Saúde de SC, Dica de Saúde: sinais do ataque cardíaco,2020-12-02 03:14:26.970,2
TV Aparecida, Primeiros socorros: o que fazer em casos de ataque cardíaco,2020-12-02 03:12:20.408,2
Ministério da Saúde, Entenda os sintomas do infarto feminino,2020-12-02 03:09:01.282,2
Tua Saúde, Ansiedade ou infarto: como diferenciar os sintomas,2020-12-02 03:08:07.086,2
Saúde da Mente, Sintomas da Crise de Ansiedade,2020-12-02 02:38:32.197,2
Clínica IMEB, Sintomas de Infarto | IMEB,2020-12-02 02:35:51.500,2
Clínica IMEB, Sintomas de AVC | IMEB,2020-12-02 02:33:53.217,2
Julio Pereira - Neurocirurgião, Formigamento no rosto: Causas e sinais de gravidade,2020-12-02 02:33:05.848,2
Mateus Freitas Contábil, Não Recebeu o Abono do PIS? Entenda o Motivo e Como Resolver | Comunicado do Ministério da Economia,2020-12-01 16:45:13.178,2
Guilherme Boulos, Live da Virada com Emicida,2020-11-28 21:16:14.686,2
Guilherme Boulos, #BoulosNoFlow | Na íntegra,2020-11-28 21:04:08.274,2
TV Fepesp, O que é a 'elite do atraso'?,2020-11-27 11:20:38.500,2
Programa Voz Ativa, Jessé Souza no Voz Ativa,2020-11-26 15:07:55.876,2
TV Fepesp, A Elite do Atraso - Sala de Professores,2020-11-26 14:36:08.817,2
Guilherme Boulos," #CaféComBoulos | Cidadão Não, Elite do Atraso!",2020-11-26 14:14:50.511,2
Meteoro Brasil, VOCÊ SABE COM QUEM ESTÁ FALANDO?,2020-11-26 14:11:58.617,2
Positivamente Podcast, YUDI CONTA COMO FOI SUA SAÍDA DO BOM DIA & CIA DO SBT,2020-11-26 14:09:17.031,2
Ferretto Matemática, Matemática Básica - Aula 1 - Adição,2020-11-26 14:08:56.573,2
Ferretto Matemática, MULTIPLICAÇÃO E DIVISÃO: Operações com Números Inteiros e Decimais  | Matemática Básica - Aula 2,2020-11-26 00:15:42.101,2
Ferretto Matemática, ADIÇÃO E SUBTRAÇÃO: Aprenda Matemática do Zero | Matemática Básica - Aula 1,2020-11-25 23:58:06.664,2
Royal Colors, 16 CREATED A NEW 3D& TEXTURE DESIGN / ROYAL PLAY/BLACK AND WHITE COMBINATION DESIGN,2020-11-25 18:50:59.787,2
Kotresh Koti, 11 CREATIVE WALL PAINTING TIPS AND IDEAS,2020-11-25 18:50:50.897,2
adsense, Vem aí o show da #BlackDasBlacksMagalu!,2020-11-25 18:50:16.711,2
IDEIAS INCRÍVEIS Brincadeiras, 16 IDEIAS MÁGICAS DE DECORAÇÃO DE QUARTO,2020-11-25 03:34:33.714,2
IDEIAS INCRÍVEIS," HALLOWEEN BRINCADEIRAS E DIYS || FANTASIAS E MAQUIAGENS ASSUSTADORAS, DECORAÇÃO MALUCA DE HALLOWEEN",2020-11-25 03:32:01.694,2
IDEIAS INCRÍVEIS, 32 IDEIAS DE DECORAÇÃO DE PAREDE SURPREENDENTES PARA TRANSFORMAR SUA CASA,2020-11-25 03:16:27.319,2
Troom Troom PT, 15 Ideias De Decoração De Parede Fáceis e Legais,2020-11-25 03:15:05.717,2
3D Royale play, 3D Wall painting Design ideas | your Wall Interior Masking Tape Painting Idea,2020-11-25 02:55:51.570,2
Fariz 3D Paint, 3D WALL PAINTING DESIGNS IDEAS || HOW TO MAKE 3D WALL DECORATION || CAT DINDING KAMAR KREATIF  3D,2020-11-25 02:47:59.092,2
Kotresh Koti, 💡16 wall painting ideas for easy way,2020-11-25 02:37:22.441,2
Nathaly Melo, Cama com pallets - DIY,2020-11-25 02:33:24.822,2
Casa de Verdade, Como fazer uma cama de pallet - com Paloma Cipriano,2020-11-25 02:33:12.564,2
IDEIAS INCRÍVEIS, 21 MÓVEIS CASEIROS E IDEIAS DE DECORAÇÕES PARA SUA CASA,2020-11-25 02:18:37.568,2
Paloma Cipriano, Como fazer uma Cama de Palete com Gavetas,2020-11-25 02:11:17.644,2
Ferretto Matemática, ADIÇÃO E SUBTRAÇÃO: Aprenda Matemática do Zero | Matemática Básica - Aula 1,2020-11-24 15:16:01.414,2
BudPlay, DE SABOTAGE A BK: 10 RAPS NACIONAIS QUE VOCÊ PRECISA TER DECORADO! | Yuri Marçal,2020-11-24 15:15:08.454,2
adsense, O Hit da Black Tá de Cara Nova,2020-11-24 13:24:39.730,2
Bôco: O 7o filho, PONTO NEMO - Onde fica o lugar mais inacessível da Terra,2020-11-23 18:57:25.451,2
DJ VT AMERICANO, AI CALICA - MC TH [VERSÃO LIGHT] DJ VT..😜,2020-11-22 20:49:40.343,2
adsense, Show da Black Friday - Americanas,2020-11-22 20:49:07.278,2
Dominando Meu Smartphone, Ifood aceita paypal como forma de pagamento ?,2020-11-22 00:34:16.720,2
adsense, Casas Bahia - Ela Tá Podendo,2020-11-21 12:26:35.240,2
Cortes do Flow [OFICIAL], IGOR FALA DA SUAS EXPERIÊNCIAS NO BAILE FUNK | Cortes do Flow,2020-11-21 12:11:34.370,2
Cortes Podpah [OFICIAL], TATTOO NA CARA,2020-11-21 11:50:32.078,2
Cortes do Flow [OFICIAL], WANDERLEI SILVA CHAPANDO NO FLOW PODCAST | Cortes do Flow,2020-11-21 11:43:04.049,2
Dj Felipe Mendonça, MC TH - AI CALICA (LIGHT - SEM VINHETA),2020-11-13 21:49:10.218,2
Canal KondZilla, MC Niack - Oh Juliana (kondzilla.com),2020-11-13 21:46:21.772,2
AP6 Produções, 10 MINUTINHOS MACETANDO SUA MENTE NO TAMBOR XRC VS RITMO DE 2020 ( DEIXA O LIKE ),2020-11-13 21:44:57.613,2
Alaska, Froid - Kyoto,2020-11-13 21:41:18.998,2
Alaska," Froid, Yung Buda, Chris - DIOR",2020-11-13 21:38:05.692,2
Hot e Oreia, Hot e Oreia Part niLL e ManoWill - FODA,2020-11-13 21:37:36.506,2
Além da Loucura ADL, Favela Vive 4 - ADL | Mc Cabelinho | Kmila CDD | Orochi | Cesar MC | Edi Rock (prod. Índio & Tibery),2020-11-13 21:33:56.246,2
Djonga, Djonga - Procuro Alguém,2020-11-13 21:32:39.185,2
Tiee, Tiee – Porradão / Questão Familiar / Tempo (Na Moral)  (DVD Ladrão de Coração) [Vídeo Oficial],2020-11-13 20:09:32.744,2
Pedro Alves, APP EXCELENTE PARA VOCÊ INICIANTE NA SERIGRAFIA. CRIE SEUS PRÓPRIOS VECTOR PELO CELULAR,2020-11-13 12:48:40.967,2
Pedro Alves, APP EXCELENTE PARA VOCÊ INICIANTE NA SERIGRAFIA. CRIE SEUS PRÓPRIOS VECTOR PELO CELULAR,2020-11-12 19:02:01.855,2
Fabio Nascimento, COMO CRIAR ARTE PELO CELULAR | APLICATIVOS PARA CRIAR ARTE NO CELULAR,2020-11-12 18:45:20.474,2
Tecnollar Tecnologia, FÁCIL! Transforme seu TVBOX em um VIDEO GAME!,2020-11-11 22:56:41.063,2
Química com Prof. Paulo Valim, 2. Conceitos Gerais da Química [Química Geral],2020-11-11 12:39:25.513,2
Quadro em Branco, Sant se comunica em paradoxos,2020-11-11 12:31:33.515,2
O MUNDO AO NORTE, AGORAFOBIA [Curta-metragem Oficial],2020-11-11 12:27:06.442,2
Química com Prof. Paulo Valim, 2. Conceitos Gerais da Química [Química Geral],2020-11-11 01:28:44.333,2
Química com Prof. Paulo Valim, 1. Introdução ao Estudo da Química [Química Geral],2020-11-11 01:05:48.764,2
Aula De, Química - Aula 1: Introdução à Química/Mudanças de Estado Físico,2020-11-11 01:05:29.689,2
Mecânica Clássica UFF, Aula 29.2 - Massa inercial e massa gravitacional,2020-11-11 00:58:09.784,2
Umberto Mannarino, O QUE MAIS CAI EM QUÍMICA NO ENEM: Aula de Revisão,2020-11-11 00:38:24.062,2
Granuhha, Jorge Ben - Brother,2020-11-10 20:03:52.987,2
UOL, Caso Mariana Ferrer: qual a implicação para a sociedade?,2020-11-09 21:13:58.281,2
Gabriel Vidal, ALTERNATIVA AO SPOTIFY PREMIUM PARA OUVIR MÚSICA,2020-11-09 13:53:10.705,2
